Domain,Indicator,Item,Element,CountryCode,CountryName,Region,Scenario,Units,Year,Value
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2035,194
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2040,198
Livestock,Productivity,Raising of cattle,Beef,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2050,204
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2012,2999
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2030,4489
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2035,4518
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2040,4422
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2050,4074
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2012,2999
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2030,4119
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2035,4159
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2040,4176
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2050,4173
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2012,2999
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2030,4098
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2035,4209
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2040,4310
Livestock,Productivity,Raising of cattle,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2050,4482
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2012,114157.461
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2030,114622.082
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2035,110085.781
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2040,106426.454
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2050,101097.519
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2012,114157.461
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2030,124219.332
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2035,121783.11
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2040,119960.13
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2050,117315.762
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2012,114157.461
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2030,132981.644
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2035,129475.58
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2040,124900.476
Livestock,Herd sizes,Raising of cattle,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2050,114162.72
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2012,184
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2030,280
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2035,280
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2040,272
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2050,244
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2012,184
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2030,248
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2035,249
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2040,249
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2050,246
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2012,184
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2030,234
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2035,240
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2040,247
Livestock,Productivity,Raising of goats,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2050,263
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2012,14
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2030,14
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2035,14
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2040,14
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2050,14
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2012,14
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2030,15
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2035,15
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2040,15
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2050,15
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2012,14
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2030,16
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2035,16
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2040,16
Livestock,Productivity,Raising of goats,Goat and sheep meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2050,16
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2012,183302.698
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2030,176834.61
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2035,171671.142
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2040,169103.872
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2050,168372.393
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2012,183302.698
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2030,200776.92
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2035,198922.616
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2040,198072.028
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2050,197917.94
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2012,183302.698
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2030,223574.472
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2035,219290.002
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2040,212288.462
Livestock,Herd sizes,Raising of goats,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2050,194996.739
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2012,73
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2030,80
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2035,80
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2040,80
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2050,81
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2012,73
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2030,84
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2035,85
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2040,86
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2050,87
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2012,73
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2030,90
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2035,91
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2040,92
Livestock,Productivity,Raising of pigs,Pork,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2050,92
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2012,469446.68
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2030,483722.08
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2035,469763.616
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2040,461285.3
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2050,455523.926
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2012,469446.68
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2030,532278.835
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2035,527033.568
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2040,524247.206
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2050,522341.54
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2012,469446.68
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2030,556773.697
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2035,549710.594
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2040,541626.811
Livestock,Herd sizes,Raising of pigs,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2050,523855.434
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2012,1.512
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2030,1.592
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2035,1.596
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2040,1.602
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2050,1.613
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2012,1.512
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2030,1.695
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2035,1.712
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2040,1.726
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2050,1.756
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2012,1.512
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2030,1.862
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2035,1.875
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2040,1.867
Livestock,Productivity,Raising of poultry,Poultry meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2050,1.84
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2012,5690331
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2030,5920255
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2035,5786165
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2040,5693370
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2050,5582874
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2012,5690331
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2030,6382663
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2035,6337363
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2040,6313495
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2050,6287175
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2012,5690331
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2030,6660998
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2035,6568541
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2040,6448178
Livestock,Herd sizes,Raising of poultry,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2050,6164076
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2012,35
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2030,54
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2035,55
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2040,55
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2050,52
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2012,35
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2030,50
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2035,51
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2040,52
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2050,53
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2012,35
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2030,51
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2035,54
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2040,56
Livestock,Productivity,Raising of sheep,Raw milk,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2050,60
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2012,16
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2030,18
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2035,18
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2040,19
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Toward Sustainability,kg/animal/year,2050,19
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2012,16
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2030,19
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2035,19
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2040,19
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Business As Usual,kg/animal/year,2050,20
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2012,16
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2030,19
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2035,20
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2040,20
Livestock,Productivity,Raising of sheep,Goat and sheep meat,CHN,"China, mainland",China,Stratified Societies,kg/animal/year,2050,21
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2012,184226.708
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2030,180734.176
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2035,174980.857
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2040,171563.482
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Toward Sustainability,1000 heads,2050,169038.714
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2012,184226.708
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2030,204450.588
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2035,202358.384
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2040,201265.327
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Business As Usual,1000 heads,2050,200722.015
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2012,184226.708
Livestock,Herd sizes,Raising of sheep,Total,CHN,"China, mainland",China,Stratified Societies,1000 heads,2030,227152.989
