locName,region
Humedal El Culebrón--Sector Baquedano,Coquimbo
MN Cerro Ñielol,Araucanía
Los Vilos--Caleta Las Conchas,Coquimbo
Río Elqui,Coquimbo
Caleta Lucretia,Magallanes
Río Huenchullami--Desembocadura,Maule
Humedal de Putú,Maule
Brisas del Sol,Bío-Bío
Punta Arenas,Magallanes
"-42.3485x-73.8469 - Jan 9, 2015, 2:34 PM",Los Lagos
"Quellón, Los Lagos, CL (-43.565, -74.83)",Los Lagos
Truffa,Arica y Parinacota
MN Cueva del Milodón,Magallanes
Pingüinera Otway,Magallanes
Río Reloca--Desembocadura,Maule
Caleta Portales,Valparaíso
Pullao,Los Lagos
Geisers del Tatio,Antofagasta
East of Puerto Williams,Magallanes
PN Torres del Paine--Lagunas Mellizas,Magallanes
Road to Puerto Natales,Magallanes
Villa los Notros,Los Ríos
Embalse Leyda,Valparaíso
Campus Norte - Universidad Católica de Temuco,Araucanía
San Carlos de Apoquindo,Región Metropolitana de Santiago
Urban Santiago birds,Región Metropolitana de Santiago
SN Humedal Río Maipo--Desembocadura,Valparaíso
Sector río Claro,Aisén del General Carlos Ibáñez del Campo
RN Los Flamencos--Salar de Tara,Antofagasta
Estero La Poza,Los Lagos
PN Chiloé--Sector Chanquin,Los Lagos
Quebrada de Talca,Coquimbo
MN La Portada,Antofagasta
"Fiordo Eyre, near Ventisquero Pio XI",Magallanes
Embalse El Yeso,Región Metropolitana de Santiago
PN La Campana--Cajón Grande,Valparaíso
Quebrada de Macul,Región Metropolitana de Santiago
"Ferry from Puerto Williams to Punta Arenas, day I",Magallanes
Valle de las Termas del Plomo,Región Metropolitana de Santiago
Puerto Montt to PN Alerce Andino,Los Lagos
Jasjara,Tarapacá
Huillinco,Los Lagos
Cerro Pintor,Región Metropolitana de Santiago
Laguna,Antofagasta
Ten-Ten,Los Lagos
Villa Miravalle,Libertador General Bernardo O'Higgins
Cuesta a Caleta Paposo,Antofagasta
DSP spot,Región Metropolitana de Santiago
El Membrillo (La Serena),Coquimbo
SN Yerba Loca [usar hotspots específicos],Región Metropolitana de Santiago
Camino Embalse El Yeso--Vega al costado del camino,Región Metropolitana de Santiago
San José de Los Lingues,Libertador General Bernardo O'Higgins
Camino a Ñirehuao--Casa de Piedra,Aisén del General Carlos Ibáñez del Campo
RN Altos de Lircay--Sendero Piedras Tacitas,Maule
Reserva Nacional Llanquihue,Los Lagos
Putemún,Los Lagos
Aeropuerto Internacional Comodoro Arturo Merino Benítez,Región Metropolitana de Santiago
"Vista río Cruces, Isla Teja",Los Ríos
RN Río de Los Cipreses--Estero las Terneras,Libertador General Bernardo O'Higgins
Mid El Yeso Road,Región Metropolitana de Santiago
Torrent Duck spot,Región Metropolitana de Santiago
PN Torres del Paine--Lago Pehoé,Magallanes
Carrizal Bajo--Humedal,Atacama
RN Laguna Torca,Maule
Isla Teja,Los Ríos
Rio Elqui,Coquimbo
Escuela Rural Las Chinchillas de Cocou,Coquimbo
Pasaje Milan,Coquimbo
Coviefi Antofagasta,Antofagasta
Estación Experimental de Quempillén,Los Lagos
Caleta Refugio,Magallanes
Embalse Collahue,Valparaíso
Melipeuco County,Araucanía
Great Shrike-Tyrant spot,Región Metropolitana de Santiago
"CL-Región Metropolitana-Santiago - -33.3447x-70.2997 - Jan 11, 2015, 7:18 PM",Región Metropolitana de Santiago
PN La Campana--Ocoa,Valparaíso
Chullec,Los Lagos
Lago Icalma,Araucanía
Costa Antofagasta,Antofagasta
Dusky Tapaculo spot,Región Metropolitana de Santiago
Isla Hornos--Faro,Magallanes
Roadside stop,Región Metropolitana de Santiago
Laguna Los Palos,Magallanes
Torres del Paine,Magallanes
PN Torres del Paine--Camping y Hotel Las Torres,Magallanes
Estero Chabunco--Desembocadura,Magallanes
MN Los Pingüinos--Isla Magdalena,Magallanes
Tenaún,Los Lagos
PEFA roadside sighting,Valparaíso
San Juan,Los Lagos
Terminal Tres Puentes,Magallanes
Camino Paso Sico,Antofagasta
Humedal Urbano Cartagena,Valparaíso
Ruta 9 Norte Km 220,Magallanes
Rilán--Norte,Los Lagos
Ruta 9 Norte Km 185,Magallanes
SN Laguna El Peral,Valparaíso
Morro Chico y Rio Penitente,Magallanes
Sailing close to Cap Horn,Magallanes
Ruta 9 Norte Km 73,Magallanes
SN Islote Pájaros Niños,Valparaíso
Parque Bicentenario de Vitacura (no contar cisnes),Región Metropolitana de Santiago
Plaza Luis Matte,Región Metropolitana de Santiago
"Angel Pimentel, Puente Alto.",Región Metropolitana de Santiago
Lago Tarahuín,Los Lagos
Humedal Tres Puentes,Magallanes
Volcán Aucanquilcha--Ladera oriente,Antofagasta
Curaco de Vélez,Los Lagos
"Caleta Colibri, N coast of Seno Tres Cerros",Magallanes
Bahía de Quellón,Los Lagos
"-43.0536x-73.6254 - Jan 13, 2015, 2:09 PM",Los Lagos
Mouth of the San Juan River,Magallanes
"Estanque, Gabriela Mistral",Coquimbo
Río Santa María,Magallanes
MN Canquén Colorado,Magallanes
"CEAM,valdivia",Los Ríos
Compu,Los Lagos
Conguillio,Araucanía
Ritoque--Humedal,Valparaíso
Batuco--Pueblo,Región Metropolitana de Santiago
Quintero,Valparaíso
Atacalco,Ñuble
Caspana,Antofagasta
Laguna Inka Coya,Antofagasta
PN Torres del Paine--Trek Lago Pehoé a Británico,Magallanes
Río Cautín,Araucanía
Cabo Blanco,Los Ríos
Ing. Forestal y RN UACH,Los Ríos
Antenas Skatepark,Coquimbo
Teguel,Los Lagos
NW of Isla Kentish,Magallanes
parque las esculturas,Región Metropolitana de Santiago
"-42.5031x-73.8382 - Jan 14, 2015, 10:31 AM",Los Lagos
Canal Tres Cerros,Magallanes
Ancud,Los Lagos
Maullin navigation to Quenuir,Los Lagos
Vavilov 2015-01-14 0647,Magallanes
Drake Passage--east of Cape Horn,Magallanes
Illapel--Plaza de Armas,Coquimbo
Chile-North of Punta Arenas,Magallanes
PN Torres del Paine--Trek Lago Pehoé a Camping Grey,Magallanes
Antofagasta--Caleta,Antofagasta
Isla Carlos III,Magallanes
Loteo Santa Monica. La Serena.,Coquimbo
Tranque/ Colmo,Valparaíso
Cerro Caracol,Bío-Bío
Canal del Chacao,Los Lagos
Vilches Alto,Maule
Tolten,Araucanía
Villa Tehuelches (sur),Magallanes
Seno de Reloncavi,Los Lagos
Hotel Lago Grey - Torres del Paine,Magallanes
RN Los Flamencos--Laguna Estación Chaxa,Antofagasta
Golfo del Corcovado--Transbordador Chaitén-Quellón,Los Lagos
Sector Punta Carrera,Magallanes
Humedal de Campiche (Ventanas),Valparaíso
"-41.8513x-74.0005 - Jan 16, 2015, 6:40 PM",Los Lagos
Mi casa,Coquimbo
Reserva Natural La Portada,Antofagasta
Vavilov 2015-01-16 1649,Magallanes
Km 35 sur a Km 55 (Punta Carrera),Magallanes
Sector rio Reten Agua Fresca,Magallanes
Caleta Villarica,Magallanes
"Agua Fresca, Km. 24.5 Sur (Sector Rio Sta Maria)",Magallanes
"-41.8489x-74.0021 - Jan 16, 2015, 3:48 PM",Los Lagos
PN Nevado Tres Cruces--Laguna Santa Rosa,Atacama
Santiago,Región Metropolitana de Santiago
"Canal Peel, off Punta Ceppi",Magallanes
PN Torres del Paine--Trek de Los Cuernos a Chileno/Las Torres,Magallanes
Río Villalobos--Ruta C-347,Atacama
"-41.6419x-73.6682 - Jan 16, 2015, 11:42 AM",Los Lagos
Coquimbo,Coquimbo
"Hike from San Juan to Cabo Froward, day I",Magallanes
SN Humedal Salinas de Pullally y Dunas de Longotoma--Desembocadura,Valparaíso
Vavilov 2015-01-16 1002,Magallanes
Antofagasta,Antofagasta
Vavilov 2015-01-16 0856,Magallanes
Camino a Farellones--entre Yerba Loca y Farellones,Región Metropolitana de Santiago
Laguna Quepiaco,Antofagasta
San Alfonso,Región Metropolitana de Santiago
Puente Huiman,Los Lagos
Laguna Chiguay (RN Cerro Castillo),Aisén del General Carlos Ibáñez del Campo
cerca de Maullín,Los Lagos
Tranque La Cadellada--Laguna poniente,Región Metropolitana de Santiago
Chile-offshore south of Valparaiso,Libertador General Bernardo O'Higgins
Quillaipe,Los Lagos
Playa Pangal,Los Lagos
Lago General Carrera--Puerto Ibáñez,Aisén del General Carlos Ibáñez del Campo
Punta Loberia,Antofagasta
Costanera Sur de Pto Natales,Magallanes
Puerto Bueno,Magallanes
Hotel Antofagasta,Antofagasta
Bosque Nativo en Penco,Bío-Bío
Estero Peel,Magallanes
Canal Pencahue--Talca Oeste,Maule
Parque Ahuenco,Los Lagos
Vavilov 2015-01-17 IO 0723,Magallanes
Vavilov 2015-01-17 0644,Magallanes
Paso Fronterizo Mamuil-Malal,Araucanía
Ilque,Los Lagos
Cero Ñielol,Araucanía
Huito,Los Lagos
MN Isla Cachagua,Valparaíso
Cuesta de Chacabuco--Rocas escalada,Región Metropolitana de Santiago
Caleta Columbine,Magallanes
Caleta Moonlight Shadow,Magallanes
"Canal Sarmiento, entrance to Caleta Moonlight Shadow",Magallanes
Caleta,Tarapacá
PN Alberto de Agostini,Magallanes
Río Carampangue--Desembocadura,Bío-Bío
Los Manyos,Región Metropolitana de Santiago
"Ancud, Cost Norte 250-290",Los Lagos
Desembocadura Río Elqui,Coquimbo
"Playa Chacaya, Antofagasta",Antofagasta
laguna dorotea chile,Magallanes
Fundo Juan Soldado,Coquimbo
"Punta Blanca, Concón",Valparaíso
"-33.3518x-70.3289 - Jan 19, 2015, 2:50 PM",Región Metropolitana de Santiago
"-33.3607x-70.2975 - Jan 19, 2015, 2:25 PM",Región Metropolitana de Santiago
"-33.3443x-70.2989 - Jan 19, 2015, 12:46 PM",Región Metropolitana de Santiago
"-33.3562x-70.3258 - Jan 19, 2015, 12:08 PM",Región Metropolitana de Santiago
"-33.3540x-70.3283 - Jan 19, 2015, 11:26 AM",Región Metropolitana de Santiago
Castro,Los Lagos
PN Radal Siete Tazas,Maule
Cuesta de Chacabuco,Valparaíso
Labranza,Araucanía
Camino Valle Nevado,Región Metropolitana de Santiago
Humedal Cabo Blanco,Los Ríos
Ruta 9 Km. 16 sur,Magallanes
La Huerta río Mataquito,Maule
"Quellón, Los Lagos, CL (-43.563, -74.833)",Los Lagos
Forestal,Libertador General Bernardo O'Higgins
"Quellón, Los Lagos, CL (-43.565, -74.831)",Los Lagos
Río Elqui (Espejo de Agua),Coquimbo
Isla Kaikué-Lagartija,Los Lagos
Reserva Narural La Chimba,Antofagasta
Tranque Las Tórtolas (AngloAmerican),Región Metropolitana de Santiago
Embalse El Yeso--Vegas superiores,Región Metropolitana de Santiago
Contuy,Los Lagos
Laforest anchorage,Magallanes
Caleta Totoral (Bahia protegida),Atacama
Tranque El Batro,Valparaíso
Isla del Rey,Los Ríos
Viña del Mar -- Calle Valparaíso 1001,Valparaíso
"Gulfo de Admiral Monte, near Bo Virginia",Magallanes
Parque Chabunco,Magallanes
dalcahue,Los Lagos
"Isla Huerte, Angostura White",Magallanes
"Angustura White, E entrance",Magallanes
Camino  Tranque El Batro,Valparaíso
Caleta Chandler,Magallanes
SN Humedal de Tunquén--Playa Tunquén,Valparaíso
-40.0199 X -73.6669,Los Ríos
Antenas de Celular Skate Park,Coquimbo
Pichilemu--Laguna Petrel (Humedal Urbano),Libertador General Bernardo O'Higgins
Río Huasco--Desembocadura,Atacama
Piedra Numerada,Región Metropolitana de Santiago
Isla de Pascua (Usar puntos exactos por favor),Valparaíso
Bahía de Yaldad,Los Lagos
Playa Chica,Valparaíso
Estero Marga Marga--Desembocadura,Valparaíso
Bahía La Herradura,Coquimbo
Caleta Jaime,Magallanes
Puerto Natales,Magallanes
"Camping Los Carpinteros, Conguillío",Araucanía
"biblioteca municipal, Castro",Los Lagos
PN Queulat--Sendero al Ventisquero colgante,Aisén del General Carlos Ibáñez del Campo
Bahía Quinchao,Los Lagos
Estancia Eberhardt,Magallanes
Localidad de Maria Elena,Antofagasta
PN Torres del Paine--Trek a mirador Torres del Paine,Magallanes
PN Torres del Paine--Laguna de los Cisnes,Magallanes
Loanco,Maule
Río Loa--Coya Sur,Antofagasta
"Curaco de Vélez, CL",Los Lagos
Bosques de Marga Marga,Valparaíso
San Víctor Álamos,Maule
Cajón de la Disputada,Región Metropolitana de Santiago
Villa Cerro Castillo,Aisén del General Carlos Ibáñez del Campo
-40.8015 X -72.2676,Los Lagos
Laguna Llanquihue,Los Lagos
Laguna (Playa y Roqueríos),Valparaíso
-40.8014 X -72.2676,Los Lagos
Hosteria Pehoe,Magallanes
Punta Rancagua,Atacama
RN El Yali--Laguna Albufera,Valparaíso
san juan,Magallanes
Parque Nacional Laguna del Laja,Bío-Bío
RN Cerro Castillo--Sector Laguna,Aisén del General Carlos Ibáñez del Campo
RN El Yali--Laguna Matanzas,Valparaíso
Reñaca--Cerros,Valparaíso
Caleta Cifuncho,Antofagasta
Laguna el Huemul,Ñuble
RN Río de Los Cipreses--Entrada,Libertador General Bernardo O'Higgins
PN Torres del Paine--Guardería Laguna Amarga,Magallanes
Antofagasta--Vivero Municipal,Antofagasta
Isla Negra,Valparaíso
Isla Negra--Playa,Valparaíso
Río Rahue-sector Quilacahuín.,Los Lagos
El Apolillado,Coquimbo
Río Bueno--Vegas de Trumao,Los Lagos
PN Nahuelbuta,Araucanía
"El Tabo, Playa",Valparaíso
PN Torres del Paine--Sendero entre porterías,Magallanes
Puerto Varas--Muelle,Los Lagos
"Parque Quebrada de Macul, El maqui",Región Metropolitana de Santiago
MN Los Pingüinos--Isla Marta,Magallanes
PN Puyehue (Los Lagos),Los Lagos
Loma Linda,Valparaíso
Estero El Culebrón o Humedales de Playa Changa,Coquimbo
Camino Catapilco - Maitencillo,Valparaíso
Humedal Córdova,Valparaíso
NP Torres del Paine -sendero N from Porteria Lago Sarmiento,Magallanes
Rio  Peuco cordillera Romeral,Libertador General Bernardo O'Higgins
Rt Y-150 w of junction with Y-156,Magallanes
Isla Negra--Playa Las Conchitas,Valparaíso
NP Torres del Paine - Puente Las Torres,Magallanes
Laguna Corazón,Los Ríos
Lagunas Mellizas,Magallanes
Sheraton Hotel vacinity,Valparaíso
Vavilov 2015-01-26 0648,Magallanes
Puyehue,Los Lagos
Vavilov 2015-01-27 2104,Magallanes
Viña del Mar,Valparaíso
La Orilla,Maule
Montegrande,Coquimbo
"Quirihue, N-160",Ñuble
Pumanque,Libertador General Bernardo O'Higgins
Y-300 pond to east,Magallanes
RN Lago Peñuelas,Valparaíso
Altovalsol,Coquimbo
Hospital Sótero Del Río,Región Metropolitana de Santiago
Camino a Chinquihue,Los Lagos
cerro grande,Coquimbo
Vavilov 2015-01-28 1702,Magallanes
Puerto Aldea,Coquimbo
SN Humedales de Tongoy--Estero Pachingo Desembocadura,Coquimbo
Vavilov 2015-01-28 1432,Magallanes
PN Patagonia--Cueva de las Manos,Aisén del General Carlos Ibáñez del Campo
"Quellón, Los Lagos, CL (-43.563, -74.834)",Los Lagos
Sector Rio Seco y costanera,Magallanes
Vavilov 2015-01-28 1139,Magallanes
Punta Teatinos,Coquimbo
Playa frente ex Hosteria Yaganes,Magallanes
Chile Chico--aeródromo,Aisén del General Carlos Ibáñez del Campo
Puyehue - Chile Trail,Los Lagos
La Paloma,Libertador General Bernardo O'Higgins
Río Claro,Libertador General Bernardo O'Higgins
"Diego de Almagro Aeropuerto,",Región Metropolitana de Santiago
Desembocadura río Aconcagua,Valparaíso
Río Tinguiririca,Libertador General Bernardo O'Higgins
Puente Cadenas,Libertador General Bernardo O'Higgins
Laguna cerca de Marchihue,Libertador General Bernardo O'Higgins
Camino a perales,Magallanes
PN La Campana,Valparaíso
"Quebrada Guanaco, Reserva Nacional La Chimba, Antofagasta.",Antofagasta
Los Choros,Coquimbo
Yeso Valley,Región Metropolitana de Santiago
Dalcahue,Los Lagos
Sistema hidrológico de Soncor del Salar de Atacama,Antofagasta
Las Trancas--Refugio,Ñuble
Parque Oncol,Los Ríos
Cerro Lircunlauta,Libertador General Bernardo O'Higgins
PN Puyehue--Volcán Antillaca,Los Lagos
RN Pingüino de Humboldt--Isla Choros,Coquimbo
San Pedro de Atacama,Antofagasta
Drake Passage_1,Magallanes
Humedal Junquillar,Maule
Lagunillas,Región Metropolitana de Santiago
Iloca,Maule
Estero Tongoy,Coquimbo
San José de los Lingues--Cerro,Libertador General Bernardo O'Higgins
Los maitenes 32°48´S 70°22´47; San Esteban,Valparaíso
Roma,Libertador General Bernardo O'Higgins
Camino Aguas calientes,Ñuble
SN Humedal La Boca,Coquimbo
Quintero--Pelágico,Valparaíso
Punta Gusano,Magallanes
Cerro el Reventón / Las Canteras,Libertador General Bernardo O'Higgins
Providencia (plazas y parques),Región Metropolitana de Santiago
Caleu,Región Metropolitana de Santiago
RM La Rinconada,Antofagasta
Horizontes del Mar,Valparaíso
Michilla--Norte,Antofagasta
SN Yerba Loca--entre entrada y zona de picnic,Región Metropolitana de Santiago
La Pasada,Los Lagos
Carretera P. Natales - P. Arenas,Magallanes
"Quebrada Carrizo, Antofagasta",Antofagasta
Mejillones,Antofagasta
Valle de El Yeso,Región Metropolitana de Santiago
Providencia,Región Metropolitana de Santiago
Laguna el Huemul - Shangri La,Ñuble
Lago General Carrera--Sector Puerto Sanchez,Aisén del General Carlos Ibáñez del Campo
Playa Las Machas (Arica),Arica y Parinacota
Río Truful-Truful--Melipeuco,Araucanía
"Sector el Melipal, El Blanco",Aisén del General Carlos Ibáñez del Campo
Camino a La Parva--Vegas y Pastizales,Región Metropolitana de Santiago
Las Trancas,Ñuble
Portezuelo camino a Puerto Ingeniero Ibañez en la región de Aisé,Aisén del General Carlos Ibáñez del Campo
sidempart,Coquimbo
RN Los Flamencos--Laguna Miscanti,Antofagasta
"Sector Pasarela, Camino a Pto. Aysén",Aisén del General Carlos Ibáñez del Campo
Punta de Tralca,Valparaíso
Lago Maihue,Los Ríos
RN Los Flamencos--Laguna Chaxa (Parque Laguna),Antofagasta
Río Mataquito--Desembocadura,Maule
Punta Arenas--Muelle viejo,Magallanes
Plaza Costa Azul,Valparaíso
Cerro las antenas,Araucanía
La Trinchera,Maule
"Camino a Putú, Km 3,0",Maule
Bahia Isthmus,Magallanes
"casa molino, llanquihue, chile",Los Lagos
Ruta CH-9--Norte de Puerto del Hambre,Magallanes
Laguna Malleco - Parque Nacional Tolhuaca,Araucanía
Ruta 9--Sur del Río Tres Brazos,Magallanes
Vados del Putana,Antofagasta
Puerto Montt--Costanera,Los Lagos
Rocuant--Canal El Morro,Bío-Bío
Parque Natural Aguas de Ramón,Región Metropolitana de Santiago
Parque Público Comunitario Panul,Región Metropolitana de Santiago
